id;key;type;source_level;rarity;weight;rank_grants;requires_all;requires_any;unlocks;replaces_previous;name
30;holy_light;active;1;common;100;635;;;;0;Luz Sagrada
31;seal_of_righteousness;active;1;common;100;21084;;;34;0;Sello de rectitud
32;devotion_aura;active;1;common;100;465;;;;0;Aura de devoción
33;blessing_of_might;active;4;common;100;19740;;;;0;Bendición de poderío
34;judgement_of_light;active;4;common;100;20271;31:1;;;0;Sentencia de Luz
35;divine_protection;active;6;common;100;498;;;;0;Protección divina
36;hammer_of_justice;active;8;common;100;853;;;;0;Martillo de Justicia
37;purify;active;8;common;100;1152;;;;0;Purificar
38;hand_of_protection;active;10;common;100;1022;;;;0;Mano de protección
39;lay_on_hands;active;10;common;100;633;;;;0;Imposición de manos
40;raptor_strike;active;1;common;100;2973;;;;0;Golpe de raptor
41;track_beasts;active;1;common;90;1494;;;;0;Rastrear bestias
42;aspect_of_the_monkey;active;4;common;100;13163;;;;0;Aspecto del mono
43;serpent_sting;active;4;common;100;1978;;;;0;Picadura de serpiente
44;arcane_shot;active;6;common;100;3044;;;;0;Disparo Arcano
45;hunters_mark;active;6;common;90;1130;;;;0;Marca del cazador
46;concussive_shot;active;8;common;100;5116;;;;0;Disparo de conmoción
47;aspect_of_the_hawk;active;10;common;100;13165;;;;0;Aspecto del halcón
48;track_humanoids;active;10;common;90;19883;;;;0;Rastrear humanoides
49;tame_beast;active;10;epic;100;1515+883+2641+6991+982;;;;0;Domesticar bestia
50;eviscerate;active;1;common;100;2098;;14:1|51:1|53:1|211:1|212:1;;0;Eviscerar
51;backstab;active;4;common;100;53;;;50,55;0;Puñalada
53;gouge;active;6;common;100;1776;;;50,55;0;Gubia
54;evasion;active;8;common;100;5277;;;;0;Evasión
55;slice_and_dice;active;10;common;100;5171;;14:1|51:1|53:1|211:1|212:1;;0;Hacer picadillo
56;sprint;active;10;common;100;2983;;;;0;Sprint
57;lesser_heal;active;1;common;100;2050;;;;0;Sanación inferior
58;power_word_fortitude;active;1;common;100;1243;;;;0;Palabra de poder: entereza
59;shadow_word_pain;active;4;common;100;589;;;;0;Palabra de las Sombras: dolor
60;power_word_shield;active;6;common;100;17;;;;0;Palabra de poder: escudo
61;fade;active;8;common;90;586;;;;0;Desvanecerse
62;renew;active;8;common;100;139;;;;0;Renovar
63;mind_blast;active;10;common;100;8092;;;;0;Explosión mental
64;resurrection;active;10;common;80;2006;;;;0;Resurrección
65;rockbiter_weapon;active;1;common;100;8017;;;;0;Arma Muerdepiedras
66;earth_shock;active;4;common;100;8042;;;;0;Choque de tierra
67;stoneskin_totem;active;4;common;100;8071;;;;0;Tótem Piel de piedra
68;earthbind_totem;active;6;common;100;2484;;;;0;Tótem Nexo terrestre
69;lightning_shield;active;8;common;100;324;;;;0;Escudo de relámpagos
70;stoneclaw_totem;active;8;common;100;5730;;;;0;Tótem Garra de piedra
71;flame_shock;active;10;uncommon;100;8050;;;;0;Choque de llamas
72;flametongue_weapon;active;10;rare;100;8024;;;;0;Arma Lengua de Fuego
73;searing_totem;active;10;uncommon;100;3599;;;;0;Tótem abrasador
74;strength_of_earth_totem;active;10;common;100;8075;;;;0;Tótem Fuerza de la tierra
75;frost_armor;active;1;common;100;168;;;;0;Armadura de Escarcha
76;conjure_water;active;4;common;80;5504;;;;0;Crear agua
77;conjure_food;active;6;common;80;587;;;;0;Crear comida
78;fire_blast;active;6;common;100;2136;;;;0;Explosión de Fuego
79;arcane_missiles;active;8;common;100;5143;;;;0;Misiles Arcanos
80;polymorph;active;8;common;100;118;;;;0;Polimorfia
81;frost_nova;active;10;common;100;122;;;;0;Nova de Escarcha
82;demon_skin;active;1;common;100;687;;;;0;Piel de demonio
83;immolate;active;1;common;100;348;;;;0;Inmolar
84;summon_imp;active;1;common;100;688;;;;0;Invocar diablillo
85;corruption;active;4;common;100;172;;;;0;Corrupción
86;curse_of_weakness;active;4;common;100;702;;;;0;Maldición de debilidad
87;life_tap;active;6;common;100;1454;;;;0;Transfusión de vida
88;curse_of_agony;active;8;common;100;980;;;;0;Maldición de agonía
89;fear;active;8;common;100;5782;;;;0;Miedo
90;drain_soul;active;10;common;100;1120;;;91,92;0;Drenar alma
91;create_healthstone;active;10;common;90;6201;90:1;;;0;Crear piedra de salud
92;summon_voidwalker;active;10;common;100;697;90:1;;;0;Invocar abisario
108;regrowth;active;12;common;100;8936;;;;0;Recrecimiento
109;enrage;active;12;common;100;5229;21:1;;;0;Enfurecer
110;revive;active;12;uncommon;100;50769;;;;0;Revivir
111;cure_poison;active;14;uncommon;100;8946;;;;0;Curar envenenamiento
112;bash;active;14;common;100;5211;21:1;;;0;Azote
113;aquatic_form;active;16;uncommon;100;1066;;;;0;Forma acuática
114;swipe_bear;active;16;common;100;779;21:1;;;0;Flagelo (oso)
115;faerie_fire;active;18;uncommon;100;770;;;;0;Fuego feérico
116;faerie_fire_feral;active;18;uncommon;100;16857;;21:1|118:1;;0;Fuego feérico (feral)
117;hibernate;active;18;rare;100;2637;;;;0;Hibernar
118;cat_form;active;20;rare;100;768+1082+5215+1079;;;;0;Forma felina
119;rebirth;active;20;legendary;100;20484;;;;0;Renacer
120;starfire;active;20;common;100;2912;;;;0;Fuego estelar
121;overpower;active;12;uncommon;100;7384;1:1;;;0;Abrumar
122;shield_bash;active;12;uncommon;100;72;;1:1|15:1;;0;Azote de escudo
123;revenge;active;14;uncommon;100;6572;15:1;;;0;Revancha
124;demoralizing_shout;active;14;common;100;1160;;;;0;Grito desmoralizador
125;shield_block;active;16;rare;100;2565;15:1;;;0;Bloquear con escudo
126;mocking_blow;active;16;uncommon;100;694;;1:1|15:1;;0;Falsa arremetida
127;disarm;active;18;rare;100;676;15:1;;;0;Desarmar
128;cleave;active;20;common;100;845;;;;0;Rajar
129;retaliation;active;20;epic;100;20230;1:1;;;0;Represalias
130;redemption;active;12;uncommon;100;7328;;;;0;Redención
131;judgement_of_wisdom;active;12;common;100;53408;31:1;;;0;Sentencia de sabiduría
132;blessing_of_wisdom;active;14;common;100;19742;;;;0;Bendición de sabiduría
133;righteous_defense;active;14;uncommon;100;31789;;;;0;Defensa recta
134;hand_of_reckoning;active;16;uncommon;100;62124;;;;0;Mano de expiación
135;righteous_fury;active;16;uncommon;100;25780;;;;0;Furia recta
136;retribution_aura;active;16;uncommon;100;7294;;;;0;Aura de reprensión
137;hand_of_freedom;active;18;rare;100;1044;;;;0;Mano de libertad
138;consecration;active;20;rare;100;26573;;;;0;Consagración
139;exorcism;active;20;common;100;879;;;;0;Exorcismo
140;flash_of_light;active;20;common;100;19750;;;;0;Destello de Luz
141;track_undead_paladin;active;20;uncommon;100;5502;;;;0;Detectar no-muertos
142;blessing_of_kings;active;20;rare;100;20217;;;;0;Bendición de reyes
143;mend_pet;active;12;common;100;136;49:1;;;0;Aliviar mascota
144;wing_clip;active;12;common;100;2974;;;;0;Cortar alas
145;distracting_shot;active;12;uncommon;100;20736;;;;0;Disparo de distracción
146;eagle_eye;active;14;uncommon;100;6197;;;;0;Ojo de águila
147;scare_beast;active;14;rare;100;1513;;;;0;Asustar bestia
148;eyes_of_the_beast;active;14;uncommon;100;1002;49:1;;;0;Ojos de la bestia
149;aspect_of_the_cheetah;active;16;rare;100;5118;;;;0;Aspecto del guepardo
150;immolation_trap;active;16;uncommon;100;13795;;;;0;Trampa de inmolación
151;mongoose_bite;active;16;common;100;1495;;;;0;Mordedura de mangosta
152;multi_shot;active;18;rare;100;2643;;;;0;Multidisparo
153;track_undead_hunter;active;18;common;100;19884;;;;0;Rastrear no-muertos
154;aspect_of_the_viper;active;20;rare;100;34074;;;;0;Aspecto de la víbora
155;disengage;active;20;rare;100;781;;;;0;Separación
156;freezing_trap;active;20;epic;100;1499;;;;0;Trampa congelante
157;kick;active;12;common;100;1766;;;;0;Patada
158;garrote;active;14;uncommon;100;703;10:1;;;0;Garrote
159;expose_armor;active;14;uncommon;100;8647;;14:1|51:1|53:1|211:1|212:1;;0;Exponer armadura
160;feint;active;16;uncommon;100;1966;;;;0;Amago
161;pick_lock;active;16;common;100;1804;;;;0;Forzar cerradura
162;ambush;active;18;common;100;8676;10:1;;;0;Emboscada
163;dismantle;active;20;uncommon;100;51722;;;;0;Desmantelar
164;rupture;active;20;uncommon;100;1943;;14:1|51:1|53:1|211:1|212:1;;0;Ruptura
165;inner_fire;active;12;common;100;588;;;;0;Fuego interno
166;cure_disease;active;14;common;100;528;;;;0;Curar enfermedad
167;psychic_scream;active;14;rare;100;8122;;;;0;Alarido psíquico
168;heal;active;16;common;100;2054;;;;0;Sanación
169;dispel_magic;active;18;uncommon;100;527;;;;0;Disipar magia
170;fear_ward;active;20;common;100;6346;;;;0;Resguardo de miedo
171;flash_heal;active;20;uncommon;100;2061;;;;0;Sanación relámpago
172;holy_fire;active;20;uncommon;100;14914;;;;0;Fuego Sagrado
173;holy_nova;active;20;epic;100;15237;;;;0;Nova Sagrada
174;devouring_plague;active;20;rare;100;2944;;;;0;Peste devoradora
175;soothe_mind;active;20;uncommon;100;453;;;;0;Calmar mente
176;shackle_undead;active;20;rare;100;9484;;;;0;Encadenar no-muerto
177;ancestral_spirit;active;12;uncommon;100;2008;;;;0;Espíritu ancestral
178;fire_nova;active;12;uncommon;100;1535;73:1;;;0;Nova de Fuego
179;purge;active;12;uncommon;100;370;;;;0;Purgar
180;cure_toxins;active;16;common;100;526;;;;0;Curar toxinas
181;ghost_wolf;active;16;rare;100;2645;;;;0;Lobo fantasmal
182;wind_shear;active;16;rare;100;57994;;;;0;Corte de viento
183;tremor_totem;active;18;rare;100;8143;;;;0;Tótem de tremor
184;frost_shock;active;20;rare;100;8056;;;;0;Choque de Escarcha
185;frostbrand_weapon;active;20;uncommon;100;8033;;;;0;Arma Estigma de Escarcha
186;healing_stream_totem;active;20;uncommon;100;5394;;;;0;Tótem Corriente de sanación
187;lesser_healing_wave;active;20;common;100;8004;;;;0;Ola de sanación inferior
188;water_shield;active;20;rare;100;52127;;;;0;Escudo de agua
189;dampen_magic;active;12;uncommon;100;604;;;;0;Atenuar magia
190;slow_fall;active;12;uncommon;100;130;;;;0;Caída lenta
191;arcane_explosion;active;14;uncommon;100;1449;;;;0;Deflagración Arcana
192;flamestrike;active;16;rare;100;2120;;;;0;Fogonazo
193;amplify_magic;active;18;uncommon;100;1008;;;;0;Amplificar magia
194;remove_curse;active;18;common;100;475;;;;0;Eliminar maldición
195;blink;active;20;rare;100;1953;;;;0;Traslación
196;blizzard;active;20;rare;100;10;;;;0;Ventisca
197;evocation;active;20;epic;100;12051;;;;0;Evocación
198;fire_ward;active;20;uncommon;100;543;;;;0;Resguardo contra el Fuego
199;mana_shield;active;20;rare;100;1463;;;;0;Escudo de maná
200;health_funnel;active;12;common;100;755;;84:1|92:1|208:1;;0;Cauce de salud
201;curse_of_recklessness;active;14;uncommon;100;704;;;;0;Maldición de temeridad
202;drain_life;active;14;uncommon;100;689;;;;0;Drenar vida
203;unending_breath;active;16;common;100;5697;;;;0;Aliento inagotable
204;create_soulstone;active;18;epic;100;693;90:1;;;0;Crear piedra de alma
205;searing_pain;active;18;uncommon;100;5676;;;;0;Dolor abrasador
206;demon_armor;active;20;rare;100;706;;;;0;Armadura demoníaca
207;ritual_of_summoning;active;20;rare;100;698;90:1;;;0;Ritual de invocación
208;summon_succubus;active;20;epic;100;712;90:1;;;0;Invocar súcubo
209;rain_of_fire;active;20;rare;100;5740;;;;0;Lluvia de Fuego
210;felsteed;active;20;rare;100;5784;;;;0;Corcel nefasto
211;brutal_slam;active;1;common;100;920020;;;50,55;0;Embate brutal
212;ruthless_cleave;active;1;common;100;920040;;;50,55;0;Tajo despiadado
101;cruelty;talent;10;common;120;12320/12852/12853/12855/12856;;;;1;Crueldad
102;deflection;talent;10;common;100;16462/16463/16464/16465/16466;;;;1;Desvío
103;anticipation;talent;10;common;90;12297/12750/12751/12752/12753;;;;1;Anticipación
104;improved_fireball;talent;10;uncommon;180;11069/12338/12339/12340/12341;2:1;;;1;Bola de Fuego mejorada
105;improved_frostbolt;talent;10;uncommon;180;11070/12473/16763/16765/16766;3:1;;;1;Descarga de Escarcha mejorada
106;tactical_mastery;talent;10;uncommon;250;12295/12676/12677;1:1;;;1;Maestría táctica
107;improved_heroic_strike;talent;10;uncommon;180;12282/12663/12664;8:1;;;1;Golpe heroico mejorado
213;iron_will;talent;10;common;100;12300/12959/12960;;;;1;Voluntad de hierro
214;anger_management;talent;10;common;100;12296;;;;1;Control de ira
215;deep_wounds;talent;10;common;100;12834/12849/12867;;;;1;Heridas profundas
216;two_handed_weapon_specialization;talent;10;common;100;12163/12711/12712;;;;1;Especialización en armas de dos manos
217;poleaxe_specialization;talent;10;common;100;12700/12781/12783/12784/12785;;;;1;Especialización en hachas y armas de asta
218;mace_specialization;talent;10;common;100;12284/12701/12702/12703/12704;;;;1;Especialización en mazas
219;sword_specialization;talent;10;common;100;12281/12812/12813/12814/12815;;;;1;Especialización en espadas
220;weapon_mastery;talent;10;common;100;20504/20505;;;;1;Maestría en armas
221;trauma;talent;10;common;100;46854/46855;;;;1;Trauma
222;second_wind;talent;10;common;100;29834/29838;;;;1;Segundo aliento
223;strength_of_arms;talent;10;common;100;46865/46866;;;;1;Fuerza de armas
224;endless_rage;talent;10;common;100;29623;;;;1;Ira infinita
225;wrecking_crew;talent;10;common;100;46867/56611/56612/56613/56614;;;;1;Equipo de demolición
226;armored_to_the_teeth;talent;10;common;100;61216/61221/61222;;;;1;Armado hasta los dientes
227;unbridled_wrath;talent;10;common;100;12322/12999/13000/13001/13002;;;;1;Ira desbocada
228;blood_craze;talent;10;common;100;16487/16489/16492;;;;1;Manía sangrienta
229;dual_wield_specialization;talent;10;common;100;13715/13848/13849/13851/13852;;;;1;Especialización en doble empuñadura
230;warrior_enrage;talent;10;common;100;12317/13045/13046/13047/13048;;;;1;Enfurecer
231;warrior_precision;talent;10;common;100;29590/29591/29592;;;;1;Precisión
232;shaman_flurry;talent;10;common;100;16256/16281/16282/16283/16284;;;;1;Aluvión
233;furious_attacks;talent;10;common;100;46910/46911;;;;1;Ataques furiosos
234;rampage;talent;10;common;100;29801;;;;1;Desenfreno
235;titans_grip;talent;10;common;100;46917;;;;1;Empuñadura de titán
236;shield_specialization;talent;10;common;100;12298/12724/12725/12726/12727;;;;1;Especialización en escudos
237;toughness;talent;10;common;100;12299/12761/12762/12763/12764;;;;1;Dureza
238;one_handed_weapon_specialization;talent;10;common;100;20196/20197/20198;;;;1;Especialización en armas de una mano
239;vitality;talent;10;common;100;29140/29143/29144;;;;1;Vitalidad
240;damage_shield;talent;10;common;100;58872/58874;;;;1;Escudo de daño
241;vigor;talent;10;common;100;14983;;;;1;Vigor
242;fleet_footed;talent;10;common;100;31208/31209;;;;1;Pies de galgo
243;deadened_nerves;talent;10;common;100;31380/31382/31383;;;;1;Nervios entumecidos
244;focused_attacks;talent;10;common;100;51634/51635/51636;;;;1;Ataques centrados
245;rogue_precision;talent;10;common;100;13705/13832/13843/13844/13845;;;;1;Precisión
246;close_quarters_combat;talent;10;common;100;13706/13804/13805/13806/13807;;;;1;Combate cuerpo a cuerpo
247;lightning_reflexes;talent;10;common;100;13787/13788/13789;;;;1;Reflejos de relámpago
248;weapon_expertise_rogue;talent;10;common;100;30919/30920;;;;1;Experiencia con armas
249;rogue_vitality;talent;10;common;100;31122/31123/61329;;;;1;Vitalidad
250;nerves_of_steel;talent;10;common;100;31130/31131;;;;1;Nervios de acero
251;combat_potency;talent;10;common;100;35541/35550/35551/35552/35553;;;;1;Potencia de combate
252;unfair_advantage;talent;10;common;100;51672/51674;;;;1;Ventaja desleal
253;prey_on_the_weak;talent;10;common;100;51685/51686/51687/51688/51689;;;;1;Abusar de los débiles
254;master_of_deception;talent;10;common;100;13958/13970/13971;;;;1;Maestro del engaño
255;setup;talent;10;common;100;13983/14070/14071;;;;1;Preparación
256;heightened_senses;talent;10;common;100;30894/30895;;;;1;Sentidos agudizados
257;rogue_deadliness;talent;10;common;100;30902/30903/30904/30905/30906;;;;1;Letalidad
258;enveloping_shadows;talent;10;common;100;31211/31212/31213;;;;1;Sombras envolventes
259;cheat_death;talent;10;common;100;31228/31229/31230;;;;1;Burlar a la muerte
260;honor_among_thieves;talent;10;common;100;51698/51700/51701;;;;1;Honor entre ladrones
261;heart_of_the_wild;talent;10;common;100;17003/17004/17005/17006/24894;;;;1;Corazón de lo Salvaje
262;unyielding_faith;talent;10;common;100;9453/25836;;;;1;Fe implacable
263;divine_strength;talent;10;common;100;20262/20263/20264/20265/20266;;;;1;Fuerza divina
264;divinity;talent;10;common;100;63646/63647/63648/63649/63650;;;;1;Divinidad
265;stoicism;talent;10;common;100;31844/31845;;;;1;Estoicismo
266;spiritual_attunement;talent;10;common;100;31785/33776;;;;1;Armonización espiritual
267;ardent_defender;talent;10;common;100;31850/31851/31852;;;;1;Defensor candente
268;combat_expertise_paladin;talent;10;common;100;31858/31859/31860;;;;1;Experiencia en combate
269;touched_by_the_light;talent;10;common;100;53590/53591/53592;;;;1;Tocado por la Luz
270;conviction;talent;10;common;100;20049/20056/20057/20058/20059;;;;1;Convicción
271;pursuit_of_justice;talent;10;common;100;26022/26023;;;;1;Búsqueda de justicia
272;eye_for_an_eye;talent;10;common;100;9799/25988;;;;1;Ojo por ojo
273;crusade;talent;10;common;100;31866/31867/31868;;;;1;Cruzada
274;vengeance_paladin;talent;10;common;100;20050/20052/20053;;;;1;Venganza
275;endurance_training;talent;10;common;100;19583/19584/19585/19586/19587;;;;1;Entrenamiento de resistencia
276;serpents_swiftness;talent;10;common;100;34466/34467/34468/34469/34470;;;;1;Rapidez de serpiente
277;lethal_shots;talent;10;common;100;19426/19427/19429/19430/19431;;;;1;Disparos letales
278;focused_aim;talent;10;common;100;53620/53621/53622;;;;1;Puntería centrada
279;careful_aim;talent;10;common;100;34482/34483/34484;;;;1;Puntería cuidadosa
280;mortal_shots;talent;10;common;100;19485/19487/19488/19489/19490;;;;1;Disparos mortales
281;combat_experience_hunter;talent;10;common;100;34475/34476;;;;1;Experiencia de combate
282;ranged_weapon_specialization;talent;10;common;100;19507/19508/19509;;;;1;Especialización en armas a distancia
283;master_marksman;talent;10;common;100;34485/34486/34487/34488/34489;;;;1;Maestro tirador
284;wild_quiver;talent;10;common;100;53215/53216/53217;;;;1;Carcaj salvaje
285;hawk_eye;talent;10;common;100;19498/19499/19500;;;;1;Ojo de halcón
286;survival_instincts_hunter;talent;10;common;100;34494/34496;;;;1;Instintos de supervivencia
287;survivalist;talent;10;common;100;19255/19256/19257/19258/19259;;;;1;Superviviente
288;killer_instinct_hunter;talent;10;common;100;19370/19371/19373;;;;1;Instinto asesino
289;lightning_reflexes_hunter;talent;10;common;100;19168/19180/19181/24296/24297;;;;1;Reflejos de relámpago
290;surefooted;talent;10;common;100;19290/19294/24283;;;;1;Pies firmes
291;expose_weakness;talent;10;common;100;34500/34502/34503;;;;1;Exponer debilidad
292;master_tactician_hunter;talent;10;common;100;34506/34507/34508/34838/34839;;;;1;Maestro táctico
293;hunter_vs_wild;talent;10;common;100;56339/56340/56341;;;;1;Cazador contra naturaleza
294;unbreakable_will;talent;10;common;100;14522/14788/14789/14790/14791;;;;1;Voluntad inquebrantable
295;meditation_priest;talent;10;common;100;14521/14776/14777;;;;1;Meditación
296;focused_will;talent;10;common;100;45234/45243/45244;;;;1;Voluntad centrada
297;spell_warding;talent;10;common;100;27900/27901/27902/27903/27904;;;;1;Protección contra hechizos
298;blessed_recovery;talent;10;common;100;27811/27815/27816;;;;1;Recuperación bendita
299;spirit_of_redemption;talent;10;common;100;20711;;;;1;Espíritu redentor
300;spiritual_guidance;talent;10;common;100;14901/15028/15029/15030/15031;;;;1;Guía espiritual
301;blessed_resilience;talent;10;common;100;33142/33145/33146;;;;1;Temple bendito
302;spirit_tap;talent;10;common;100;15270/15335/15336;;;;1;Transfusión de espíritu
303;divine_aegis;talent;10;common;100;47509/47511/47515;;;;1;Égida divina
304;elemental_focus;talent;10;common;100;16164;;;;1;Enfoque elemental
305;unrelenting_storm;talent;10;common;100;30664/30665/30666;;;;1;Tormenta incansable
306;astral_shift;talent;10;common;100;51474/51478/51479;;;;1;Cambio astral
307;spirit_weapons;talent;10;common;100;16268;;;;1;Armas espirituales
308;weapon_mastery_shaman;talent;10;common;100;29082/29084/29086;;;;1;Maestría con armas
309;unleashed_rage;talent;10;common;100;30802/30808/30809;;;;1;Ira desatada
310;mental_dexterity;talent;10;common;100;51883/51884/51885;;;;1;Destreza mental
311;ancestral_healing;talent;10;common;100;16176/16235/16240;;;;1;Sanación ancestral
312;natures_guardian_shaman;talent;10;common;100;30881/30883/30884/30885/30886;;;;1;Guardián de la Naturaleza
313;blessing_of_the_eternals;talent;10;common;100;51554/51555;;;;1;Bendición de los Eternos
314;survival_of_the_fittest;talent;10;common;100;33853/33855/33856;;;;1;Supervivencia del más apto
315;naturalist;talent;10;common;100;17069/17070/17071/17072/17073;;;;1;Naturalista
316;lunar_guidance;talent;10;common;100;33589/33590/33591;;;;1;Guía lunar
317;dreamstate;talent;10;common;100;33597/33599/33956;;;;1;Estado onírico
318;natures_grace;talent;10;common;100;16880/61345/61346;;;;1;Gracia de la Naturaleza
319;living_spirit;talent;10;common;100;34151/34152/34153;;;;1;Espíritu vivo
320;natural_perfection;talent;10;common;100;33881/33882/33883;;;;1;Perfección natural
321;mental_strength;talent;10;common;100;18551/18552/18553/18554/18555;;;;1;Fortaleza mental
322;arcane_fortitude;talent;10;common;100;28574/54658;;;;1;Fortaleza Arcana
323;magic_absorption;talent;10;common;100;29441/29444;;;;1;Absorción de magia
324;mind_mastery;talent;10;common;100;31584/31585/31586/31587/31588;;;;1;Maestría mental
325;netherwind_presence;talent;10;common;100;44400/44402/44403;;;;1;Presencia viento abisal
326;spell_power;talent;10;common;100;35578/35581;;;;1;Poder con hechizos
327;burning_determination;talent;10;common;100;54747/54749;;;;1;Determinación ardiente
328;master_of_elements;talent;10;common;100;29074/29075/29076;;;;1;Maestro de los elementos
329;playing_with_fire;talent;10;common;100;31638/31639/31640;;;;1;Jugando con fuego
330;critical_mass;talent;10;common;100;11095/12872/12873;;;;1;Masa crítica
331;blazing_speed;talent;10;common;100;31641/31642;;;;1;Velocidad llameante
332;fire_power;talent;10;common;100;11124/12378/12398/12399/12400;;;;1;Poder de Fuego
333;pyromaniac;talent;10;common;100;34293/34295/34296;;;;1;Pirómano
334;molten_fury;talent;10;common;100;31679/31680;;;;1;Furia de arrabio
335;ice_shards;talent;10;common;100;11207/12672/15047;;;;1;Fragmentos de hielo
336;mage_precision;talent;10;common;100;29438/29439/29440;;;;1;Precisión
337;piercing_ice;talent;10;common;100;11151/12952/12953;;;;1;Hielo penetrante
338;frost_channeling;talent;10;common;100;11160/12518/12519;;;;1;Canalización de Escarcha
339;shatter;talent;10;common;100;11170/12982/12983;;;;1;Trizar
340;arctic_winds;talent;10;common;100;31674/31675/31676/31677/31678;;;;1;Vientos árticos
341;fel_vitality;talent;10;common;100;18731/18743/18744;;;;1;Vitalidad vil
342;demonic_tactics;talent;10;common;100;30242/30245/30246/30247/30248;;;;1;Tácticas demoníacas
343;demonic_resilience;talent;10;common;100;30319/30320/30321;;;;1;Resiliencia demoníaca
344;nether_protection;talent;10;common;100;30299/30301/30302;;;;1;Protección abisal
345;demonic_embrace;talent;10;common;100;18697/18698/18699;;;;1;Abrazo demoníaco
346;molten_skin;talent;10;common;100;63349/63350/63351;;;;1;Piel de arrabio
347;divine_intellect;talent;10;common;100;20257/20258/20259/20260/20261;;;;1;Intelecto divino
348;malice;talent;10;common;100;14138/14139/14140/14141/14142;;;;1;Malicia
349;thick_hide_hunter;talent;10;common;100;19609/19610/19612;;;;1;Pellejo grueso
350;ancestral_knowledge;talent;10;common;100;17485/17486/17487/17488/17489;;;;1;Conocimiento ancestral
351;toughness_shaman;talent;10;common;100;16252/16306/16307/16308/16309;;;;1;Dureza
352;elemental_warding;talent;10;common;100;28996/28997/28998;;;;1;Protección elemental
353;thundering_strikes;talent;10;common;100;16255/16302/16303/16304/16305;;;;1;Golpes atronadores
354;intensity_druid;talent;10;common;100;17106/17107/17108;;;;1;Intensidad
355;arcane_meditation;talent;10;common;100;18462/18463/18464;;;;1;Meditación Arcana
356;arcane_mind;talent;10;common;100;11232/12500/12501/12502/12503;;;;1;Mente Arcana
357;student_of_the_mind;talent;10;common;100;44397/44398/44399;;;;1;Estudiante de la mente
